"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SMOKERS","TOT","PC_POP15","A","2016",12.4,
"AUS","SMOKERS","TOT","PC_POP15","A","2019",11.2,
"AUT","SMOKERS","TOT","PC_POP15","A","2019",20.6,
"BEL","SMOKERS","TOT","PC_POP15","A","2018",15.4,
"CAN","SMOKERS","TOT","PC_POP15","A","2016",12.5,
"CAN","SMOKERS","TOT","PC_POP15","A","2017",12,
"CAN","SMOKERS","TOT","PC_POP15","A","2018",11.3,
"CAN","SMOKERS","TOT","PC_POP15","A","2019",10.3,
"CZE","SMOKERS","TOT","PC_POP15","A","2016",19.6,
"CZE","SMOKERS","TOT","PC_POP15","A","2017",18.4,
"CZE","SMOKERS","TOT","PC_POP15","A","2018",21.1,
"CZE","SMOKERS","TOT","PC_POP15","A","2019",18.1,
"DNK","SMOKERS","TOT","PC_POP15","A","2017",16.9,
"FIN","SMOKERS","TOT","PC_POP15","A","2016",15,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2017",13,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2018",14,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2019",13,"D"
"FIN","SMOKERS","TOT","PC_POP15","A","2020",12,"D"
"FRA","SMOKERS","TOT","PC_POP15","A","2016",29.4,
"FRA","SMOKERS","TOT","PC_POP15","A","2017",26.9,
"FRA","SMOKERS","TOT","PC_POP15","A","2018",25.4,
"FRA","SMOKERS","TOT","PC_POP15","A","2019",24,
"DEU","SMOKERS","TOT","PC_POP15","A","2017",18.8,
"GRC","SMOKERS","TOT","PC_POP15","A","2019",24.9,
"HUN","SMOKERS","TOT","PC_POP15","A","2019",24.9,
"ISL","SMOKERS","TOT","PC_POP15","A","2016",10.2,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2017",9.4,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2018",8.6,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2019",8.2,"D"
"ISL","SMOKERS","TOT","PC_POP15","A","2020",7.3,"D"
"IRL","SMOKERS","TOT","PC_POP15","A","2016",19,
"IRL","SMOKERS","TOT","PC_POP15","A","2017",18,
"IRL","SMOKERS","TOT","PC_POP15","A","2018",17,
"IRL","SMOKERS","TOT","PC_POP15","A","2019",14,
"ITA","SMOKERS","TOT","PC_POP15","A","2016",20,
"ITA","SMOKERS","TOT","PC_POP15","A","2017",19.9,
"ITA","SMOKERS","TOT","PC_POP15","A","2018",19.2,
"ITA","SMOKERS","TOT","PC_POP15","A","2019",18.6,
"JPN","SMOKERS","TOT","PC_POP15","A","2016",18.3,
"JPN","SMOKERS","TOT","PC_POP15","A","2017",17.7,
"JPN","SMOKERS","TOT","PC_POP15","A","2018",17.8,
"JPN","SMOKERS","TOT","PC_POP15","A","2019",16.7,
"KOR","SMOKERS","TOT","PC_POP15","A","2016",18.4,
"KOR","SMOKERS","TOT","PC_POP15","A","2017",17.5,
"KOR","SMOKERS","TOT","PC_POP15","A","2018",17.5,
"KOR","SMOKERS","TOT","PC_POP15","A","2019",16.4,
